tokenId,top_tokens
51,"[3302, 7437, 2437, 978, 1404, 46, 45, 5499, 7201, 2118, 1044, 2058, 1758, 3517, 7370, 12508, 3386, 9618, 14553, 9407, 14655, 1064, 15054, 12375, 9684, 14778, 8292, 11035, 14468, 12112]"
52,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
54,"[2661, 608, 2987, 4528, 14735, 8494, 4967, 5145, 56, 16965, 4590, 18779, 8956, 3008, 1912, 20362, 4345, 16621, 18397, 1622, 1323, 7285, 9697, 17857, 19975, 19111, 20863, 7328, 11939, 14101]"
55,"[6, 9, 57, 13, 1765, 18095, 74, 21444, 965, 19, 29, 714, 1852, 21, 92, 86, 48, 550, 37, 8541, 6757, 1820, 6719, 6149, 157, 7740, 1885, 8626, 7598, 8496]"
56,"[608, 16785, 2987, 1323, 11361, 14536, 14675, 15146, 1912, 20407, 9746, 14000, 16777, 8637, 6500, 18020, 14522, 6563, 20751, 19405, 20306, 5032, 17358, 19022, 16095, 17166, 21516, 18536, 7035, 14195]"
57,"[18095, 74, 1765, 19, 965, 1852, 714, 29, 21, 92, 86, 550, 48, 8541, 6757, 1820, 6719, 6149, 7740, 1885, 157, 8626, 8496, 7598, 43, 961, 7326, 1582, 21976, 21376]"
58,"[36, 13117, 11016, 7274, 765, 4349, 15936, 11755, 15049, 5596, 12588, 910, 8599, 904, 911, 6782, 7132, 11601, 1747, 11791, 4463, 14431, 19279, 7936, 718, 1932, 511, 18915, 3309, 625]"
59,"[11761, 4592, 2923, 7563, 122, 5300, 5106, 6452, 5090, 177, 11338, 21360, 1890, 3153, 3242, 2280, 7190, 10486, 15084, 8050, 7655, 12436, 10459, 3468, 6167, 652, 13201, 12933, 12665, 626]"
60,"[1932, 2434, 5109, 904, 558, 3288, 6782, 718, 14277, 12606, 11154, 580, 16094, 5596, 9712, 11755, 2743, 7410, 17585, 11284, 12512, 911, 14997, 4349, 9472, 13966, 11484, 16134, 17038, 11020]"
61,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
64,"[6141, 4104, 55, 15267, 1765, 513, 581, 6, 1367, 2881, 57, 14938, 16752, 18095, 3272, 4132, 11700, 1053, 9, 788, 7052, 11158, 1108, 11395, 13676, 72, 9581, 13155, 11720, 2949]"
65,"[4345, 1464, 88, 7328, 20099, 17422, 2661, 21047, 16621, 8494, 14735, 17857, 18397, 21333, 5145, 8580, 16965, 4528, 4967, 21122, 4590, 1622, 11530, 1912, 18191, 17075, 2987, 14140, 20863, 803]"
66,"[840, 21376, 2833, 21585, 1918, 945, 1106, 7326, 1590, 21417, 19715, 1625, 21976, 19714, 1582, 1656, 1586, 1583, 961, 157, 20021, 21539, 1052, 8626, 8774, 1095, 941, 19765, 7598, 20388]"
67,"[1255, 4616, 1194, 6421, 10949, 1935, 6985, 4777, 7192, 7712, 2894, 8682, 9702, 7417, 10304, 10964, 7666, 2647, 5776, 8627, 7755, 7752, 8214, 8186, 5825, 5698, 5627, 5471, 8454, 648]"
71,"[19417, 21054, 21353, 9197, 10197, 20699, 20955, 21333, 20519, 7971, 88, 16686, 14015, 13930, 8358, 9514, 19975, 2015, 9085, 13109, 12748, 8580, 18015, 14933, 19080, 17358, 10816, 20262, 2759, 9230]"
72,"[1405, 8415, 11799, 20383, 12280, 11410, 10624, 4652, 7823, 16852, 21933, 5188, 10549, 16483, 13633, 13870, 16843, 21569, 16188, 12626, 7930, 13191, 11250, 20733, 8061, 7917, 8089, 10503, 10096, 4945]"
73,"[4342, 903, 10249, 10118, 2940, 949, 7596, 10098, 11241, 4343, 9817, 10152, 3810, 1995, 9985, 15482, 3842, 2570, 11254, 10576, 2455, 1985, 5470, 11636, 3289, 4159, 8575, 3586, 7515, 14174]"
74,"[965, 19, 1852, 714, 29, 21, 86, 92, 550, 8541, 48, 6757, 1820, 6719, 6149, 7740, 1885, 8626, 8496, 157, 7598, 961, 7326, 1582, 21976, 43, 21376, 19715, 21417, 840]"
75,"[8307, 7816, 16484, 7873, 5172, 112, 5199, 3829, 13047, 9971, 14969, 9827, 5071, 10728, 10513, 10193, 2376, 6863, 4254, 20915, 10501, 892, 4500, 2423, 139, 9055, 598, 17627, 2951, 8876]"
76,"[16831, 2175, 6065, 1000, 12416, 18812, 20080, 9384, 12834, 3091, 3844, 6241, 3384, 1984, 21683, 4993, 19620, 21675, 14335, 19849, 21892, 8434, 19269, 9227, 15880, 6201, 11913, 21128, 12940, 12790]"
78,"[9731, 1673, 5045, 7843, 12357, 7104, 6608, 3360, 6229, 9607, 5069, 5511, 12598, 5311, 2767, 6257, 2273, 10341, 6505, 4407, 5219, 5110, 5141, 3258, 5005, 6656, 4809, 1812, 5041, 1327]"
81,"[521, 674, 516, 705, 14949, 15484, 13711, 6343, 17752, 90, 7938, 11774, 20680, 18141, 18406, 17053, 15293, 21707, 1361, 20503, 14028, 13150, 11538, 2370, 18285, 18142, 10287, 6792, 13110, 5516]"
82,"[2676, 973, 2925, 21830, 21920, 1389, 7592, 1581, 1237, 21414, 7870, 535, 683, 2093, 2196, 1953, 2801, 20435, 1107, 2198, 1752, 21747, 1702, 2666, 10987, 1754, 7070, 1098, 1046, 19724]"
83,"[11784, 11115, 14534, 10471, 13784, 11909, 5915, 14205, 5126, 16712, 14757, 16391, 11456, 1844, 14527, 7859, 2009, 1229, 17034, 1103, 17164, 11735, 10467, 156, 4815, 4609, 4842, 11728, 4712, 13311]"
85,"[4778, 321, 1504, 3160, 916, 7850, 695, 11026, 1496, 6383, 7654, 5147, 1259, 1073, 5183, 1273, 10677, 2640, 8457, 1332, 5493, 5181, 5703, 942, 5645, 5434, 1115, 8688, 854, 5187]"
86,"[92, 48, 1820, 6757, 8541, 6719, 6149, 1885, 7740, 550, 8626, 8496, 7598, 157, 961, 1582, 7326, 21976, 21376, 19715, 21417, 1852, 21, 840, 714, 2833, 1211, 21585, 1918, 945]"
87,"[2231, 993, 2200, 2608, 1056, 1009, 580, 11091, 2743, 7562, 9472, 14329, 7515, 13217, 2455, 12062, 3288, 12252, 13917, 14370, 4159, 14202, 11284, 558, 5470, 17540, 8239, 584, 12606, 6779]"
88,"[14195, 8580, 8767, 8908, 21516, 13042, 8602, 8334, 862, 18523, 13149, 11281, 10442, 1323, 18129, 843, 20306, 1912, 2987, 17358, 17166, 17876, 16777, 8434, 9227, 1984, 7963, 10284, 14101, 7810]"
89,"[4345, 7328, 2014, 20044, 10751, 6221, 20310, 17833, 21047, 20012, 10550, 6088, 6236, 6241, 18610, 10050, 15521, 7940, 15696, 16902, 14140, 20117, 20155, 13702, 5848, 3817, 17416, 9816, 19569, 19243]"
90,"[705, 516, 674, 521, 81, 10646, 5544, 18833, 9614, 11014, 6881, 10847, 9051, 11980, 15107, 9716, 3320, 1319, 10945, 5178, 2261, 2874, 17212, 12073, 12056, 2218, 6024, 13028, 772, 17752]"
91,"[7486, 16230, 19763, 17422, 19680, 20682, 19487, 16605, 10128, 6504, 9946, 20767, 21362, 11102, 1529, 18519, 16519, 7899, 905, 944, 20645, 18397, 7516, 1622, 4967, 13225, 5145, 1260, 20140, 21808]"
92,"[86, 6757, 48, 1820, 8541, 6719, 6149, 7740, 1885, 8626, 550, 8496, 7598, 157, 961, 7326, 1582, 21976, 21376, 19715, 21417, 1852, 21, 840, 714, 2833, 21585, 1211, 1918, 945]"
93,"[7038, 20870, 6133, 6021, 3853, 19289, 13153, 901, 8906, 12042, 12107, 9136, 10168, 9082, 9129, 9874, 8093, 12973, 3877, 3510, 13329, 16642, 11966, 7451, 15113, 8651, 1724, 16422, 16552, 15406]"
94,"[188, 21190, 20270, 19961, 19797, 17413, 21027, 19949, 17230, 18130, 16859, 15347, 9708, 5985, 9754, 11143, 17744, 4584, 21204, 12940, 19303, 6201, 17545, 19393, 20484, 21510, 862, 19380, 20863, 18536]"
95,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
97,"[1026, 18661, 18987, 15911, 13860, 9463, 22054, 5332, 21708, 4519, 15985, 16036, 15444, 20968, 20140, 9759, 19328, 9013, 18853, 6882, 17384, 4657, 19249, 19319, 18067, 10129, 14961, 1622, 20779, 19483]"
102,"[17928, 19855, 21090, 11957, 21624, 19406, 13953, 14175, 9743, 10705, 9481, 22072, 17313, 7267, 7604, 19081, 7220, 12633, 5083, 7964, 10903, 11288, 12811, 11242, 7507, 4947, 5647, 17009, 11621, 3846]"
103,"[732, 658, 13852, 5255, 4425, 9213, 1967, 19894, 7422, 9165, 1167, 562, 2962, 17952, 11258, 11502, 631, 14184, 13859, 114, 132, 7284, 7720, 7041, 1704, 9986, 827, 10124, 10022, 894]"
104,"[120, 15744, 9861, 10038, 19292, 653, 11991, 3028, 14171, 19194, 20818, 6241, 20781, 11196, 11959, 19556, 757, 14101, 20381, 14695, 1709, 2337, 16757, 3581, 15334, 4105, 7810, 9227, 20832, 11989]"
105,"[12273, 2450, 9598, 4039, 12925, 6934, 4683, 13410, 14468, 15894, 19839, 17869, 14789, 2131, 1172, 12521, 12649, 735, 1987, 12388, 19262, 11035, 7370, 9368, 20334, 12207, 12638, 14553, 1758, 2353]"
106,"[610, 16867, 18572, 657, 8334, 4113, 4634, 4112, 14038, 14328, 12811, 18335, 15818, 12958, 14667, 21821, 13953, 5647, 20463, 9016, 18351, 12065, 13954, 20010, 11957, 8411, 2590, 16170, 20710, 21460]"
108,"[5169, 7717, 13592, 909, 255, 2250, 2064, 1748, 7728, 1916, 1549, 613, 2621, 6878, 7677, 9696, 736, 6569, 11679, 12759, 2027, 12501, 12529, 5937, 878, 12509, 8193, 11932, 9201, 5826]"
110,"[16244, 18975, 18145, 21315, 9303, 19177, 9031, 15490, 9313, 19213, 7507, 21291, 8770, 21272, 15002, 7964, 5270, 19647, 15691, 19389, 4766, 7645, 12065, 7635, 5702, 7716, 6602, 21508, 10077, 3269]"
112,"[7873, 8307, 9827, 7816, 5199, 3829, 10728, 5172, 10513, 75, 139, 13047, 2951, 1410, 14969, 1738, 17627, 13272, 9971, 2423, 10501, 598, 16484, 12776, 9105, 8876, 6863, 5071, 9434, 4254]"
113,"[12719, 20776, 12936, 20367, 20570, 18064, 8558, 21498, 9265, 20976, 21211, 18278, 20082, 13222, 18191, 12296, 5440, 11398, 365, 18846, 13533, 738, 10129, 19935, 19976, 18746, 20958, 7978, 19276, 20826]"
114,"[1704, 631, 894, 1167, 761, 7284, 860, 7422, 7041, 18269, 11502, 9374, 5255, 12705, 18602, 12537, 1235, 9608, 14433, 19580, 4199, 2460, 2981, 11294, 2962, 12412, 2912, 10886, 13852, 19894]"
115,"[1214, 14133, 927, 7795, 12197, 4895, 20645, 16746, 20820, 7656, 7066, 9422, 21708, 22054, 19424, 19975, 9875, 9223, 16433, 16716, 20736, 12928, 8956, 18104, 13919, 20767, 10197, 18585, 9432, 18478]"
116,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
117,"[8250, 5585, 4146, 6208, 5960, 6606, 13091, 5467, 6123, 5908, 8766, 8790, 4836, 15239, 11499, 14609, 3424, 4563, 2418, 10540, 7009, 11933, 6311, 6524, 8130, 14921, 5458, 7923, 906, 8194]"
118,"[4541, 11289, 2433, 1041, 3356, 7442, 2001, 8256, 17327, 9755, 13571, 8991, 773, 6532, 2134, 2552, 5525, 11330, 14178, 13063, 8215, 3763, 19153, 10418, 15917, 12976, 11770, 14080, 14598, 11790]"
119,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
120,"[104, 15744, 6241, 11959, 3581, 19194, 1709, 4105, 11989, 14695, 19946, 757, 11913, 19759, 15334, 18607, 20818, 18526, 20781, 19620, 2337, 19656, 18353, 21392, 3028, 19556, 19219, 1984, 21683, 3844]"
121,"[7743, 1778, 2102, 2050, 1406, 1474, 5412, 2691, 6260, 5694, 1499, 5600, 5471, 7576, 5627, 6918, 1377, 1808, 2803, 7666, 1255, 953, 2148, 9702, 10304, 1252, 11063, 7417, 4616, 7898]"
122,"[2923, 4592, 7563, 5300, 11761, 5106, 3153, 7190, 15084, 10486, 11338, 3242, 5090, 177, 1890, 2280, 6452, 6705, 6167, 7655, 12436, 13201, 8050, 10788, 626, 12665, 12880, 12933, 652, 2400]"
